Nama PTTA,Posisi Sayap,Kemiringan Sayap,Bentuk Sayap,Arah Sayap,Jenis Mesin,Jumlah Mesin,Posisi Mesin,Bentuk Badan,Hidung Badan,Tengah Badan,Posisi Ekor,Jumlah Ekor,Bentuk Ekor,Persenjataan,Warna
BTT-3 Banshee,bawah,positif,delta,lancip kebelakang,baling-baling,satu,belakang,bulat,runcing,tabung,tidak ada,tunggal,kebelakang dan ujung tumpul,tidak bersenjata,polos
Brevel,bawah,positif,lurus,lancip kebelakang,piston,satu,belakang,bulat,bulat,tabung,tidak ada,tunggal,kebelakang dan ujung tumpul,tidak bersenjata,polos
Crecerelle,bawah,positif,delta,lancip kebelakang,baling-baling,dua,belakang,bulat,runcing,tabung,tidak ada,tunggal,kebelakang dan ujung tumpul,tidak bersenjata,polos
D-4 NPU,atas,positif,lurus,lancip rata,baling-baling,satu,depan,bulat,runcing,tabung,diatas badan,tunggal,lancip rata dan ujung kotak,tidak bersenjata,polos
Model 324 Scarab,bawah,tidak ada kemiringan,kebelakang,kebelakang dan lancip,turbo,satu,belakang,tebal,runcing,menonjol,dibawah badan,ganda,meruncing kebelakang dan ujung kotak,tidak bersenjata,polos
Model 410,atas,tidak ada kemiringan,lurus,lancip rata,turbo,satu,belakang,kotak,runcing,tabung,diatas badan,ganda,meruncing kebelakang dan ujung kotak,tidak bersenjata,polos
Mirach 26,atas,tidak ada kemiringan,lurus,lancip rata,piston,satu,belakang,bulat,bulat,menonjol,diatas badan,ganda,meruncing kebelakang dan ujung kotak,tidak bersenjata,polos
Mirach 100 Meteor,bawah,tidak ada kemiringan,semi delta,lancip kebelakang,jet,satu,belakang,bulat,runcing,tabung,posisi tidak ada,tunggal,meruncing kebelakang dan ujung kotak,tidak bersenjata,polos
MQ-5B Hunter,atas,tidak ada kemiringan,lurus,lancip rata,baling-baling,dua,depan dan belakang,bulat,bulat,menonjol,diatas badan,ganda,kebelakang dan ujung tumpul,tidak bersenjata,polos
MQ-8 Fire Scout,atas,tidak ada kemiringan,lurus,lancip tidak rata,baling-baling,dua,depan dan belakang,ramping,bulat,menonjol,diatas badan,tunggal,meruncing kebelakang dan ujung kotak,tidak bersenjata,polos
RQ-2 Pioneer,atas,tidak ada kemiringan,lurus,lancip tidak rata,baling-baling,satu,belakang,bulat,runcing,menonjol,diatas badan,ganda,lancip rata dan ujung kotak,tidak bersenjata,polos
